XP;-1.511.487.875;-8.000;3.774,82
Santander;-1.187.128.375;-6.265;3.771,01
BGC Liquidez;-681.166.250;-3.620;3.772,42
UBS;-658.759.627;-3.495;3.774,46
Modal;-199.133.250;-1.055;3.779,56
JP Morgan;-183.822.748;-970;3.772,90
Ativa;-165.234.376;-875;3.768,98
Capital;-164.030.625;-860;3.772,47
Morgan;-146.853.625;-785;3.773,71
Intl;-29.151.500;-155;3.762,00
Guide;-22.240.999;-105;3.773,73
Rico;-11.181.125;-60;3.775,92
Credit;-5.009.625;-25;3.775,09
Nova Futura;-1.629.375;-10;3.769,72
Coinvalores;-1.027.000;-5;3.776,35
Genial;1.371.125;5;3.773,04
Clear;6.830.000;35;3.772,16
Socopa;8.465.375;45;3.770,06
Goldman;19.709.375;95;3.774,84
Planner;20.673.625;110;3.768,61
Concórdia;22.573.125;120;3.771,68
Citigroup;33.595.750;180;3.778,54
Safra;33.978.375;180;3.775,38
BTG;56.015.375;285;3.771,14
H.commcor;90.773.750;480;3.777,58
Merrill;175.845.125;935;3.766,45
Renascença;183.840.999;975;3.762,71
Terra;556.636.250;2.950;3.776,05
Tullett;897.645.875;4.750;3.774,03
Bradesco;1.192.549.000;6.320;3.768,90
Itaú;1.667.161.876;8.820;3.769,95
