"data";"abertura";"maxima";"minima";"fechamento";"media"
"2018-08-27";4100.0;4112.0;4100.0;4112.0;1.2
"2018-09-06";4150.0;4150.0;4150.0;4150.0;0.0
"2018-09-14";4176.0;4195.0;4176.0;4195.0;1.9
"2018-09-17";4179.0;4198.0;4171.0;4171.0;2.7
"2018-09-21";4080.0;4080.0;4067.5;4067.5;1.25
"2018-09-26";4050.0;4050.0;4040.0;4050.0;1.0
"2018-09-27";4035.0;4035.0;4010.0;4020.0;2.5
"2018-09-28";4049.0;4050.0;4049.0;4050.0;0.1
"2018-10-01";4060.0;4060.0;4037.5;4038.0;2.25
"2018-10-02";4000.0;4010.0;3930.0;3960.0;8.0
"2018-10-03";3880.0;3931.0;3855.0;3920.0;7.6
"2018-10-04";3935.0;3944.5;3895.0;3895.0;4.95
"2018-10-05";3858.5;3900.0;3855.0;3855.0;4.5
"2018-10-08";3760.5;3789.5;3736.5;3775.0;5.3
"2018-10-09";3783.0;3783.0;3725.0;3740.0;5.8
"2018-10-10";3762.0;3780.0;3745.5;3773.0;3.45
"2018-10-11";3740.0;3798.0;3730.5;3791.5;6.75
"2018-10-15";3772.5;3772.5;3730.5;3735.0;4.2
"2018-10-16";3729.0;3741.5;3720.0;3738.0;2.15
"2018-10-17";3709.5;3717.0;3680.0;3700.5;3.7
"2018-10-18";3696.0;3743.0;3689.5;3734.0;5.35
"2018-10-19";3705.0;3730.5;3703.5;3725.0;2.7
"2018-10-22";3710.0;3730.0;3681.5;3702.0;4.85
"2018-10-23";3705.0;3730.0;3700.0;3700.0;3.0
"2018-10-24";3710.0;3751.5;3700.0;3728.0;5.15
"2018-10-25";3720.0;3736.0;3693.0;3716.5;4.3
"2018-10-26";3733.5;3738.0;3648.0;3650.0;9.0
"2018-10-29";3591.0;3731.0;3589.0;3730.0;14.2
"2018-10-30";3700.0;3745.0;3688.0;3709.0;5.7
"2018-10-31";3697.0;3754.5;3696.5;3732.0;5.8
"2018-11-01";3708.0;3721.5;3688.0;3705.5;3.35
"2018-11-05";3701.0;3743.5;3698.5;3731.5;4.5
"2018-11-06";3733.0;3777.0;3733.0;3767.5;4.4
"2018-11-07";3742.5;3794.0;3729.0;3738.5;6.5
"2018-11-08";3746.5;3768.5;3722.0;3764.5;4.65
"2018-11-09";3775.5;3781.0;3730.5;3739.0;5.05
"2018-11-12";3751.0;3774.5;3741.5;3769.0;3.3
"2018-11-13";3761.5;3836.5;3759.0;3810.0;7.75
"2018-11-14";3801.5;3824.0;3771.0;3788.0;5.3
"2018-11-16";3778.0;3786.5;3734.0;3746.5;5.25
"2018-11-19";3749.0;3775.0;3744.5;3760.0;3.05
"2018-11-21";3772.0;3804.5;3769.0;3799.0;3.55
"2018-11-22";3791.5;3826.5;3791.0;3802.5;3.55
"2018-11-23";3815.0;3833.5;3796.0;3830.0;3.75
"2018-11-26";3820.0;3895.5;3818.0;3880.0;7.75
"2018-11-27";3917.5;3927.0;3863.0;3878.0;6.4
"2018-11-28";3884.0;3893.0;3839.0;3855.0;5.4
"2018-11-29";3851.5;3879.0;3838.0;3860.0;4.1
"2018-11-30";3863.0;3893.0;3843.0;3866.5;5.0
"2018-12-03";3826.5;3850.0;3819.5;3845.0;3.05
"2018-12-04";3832.0;3871.0;3821.0;3856.5;5.0
"2018-12-05";3850.0;3886.5;3838.0;3872.5;4.85
"2018-12-06";3895.0;3947.0;3876.5;3882.0;7.05
"2018-12-07";3883.0;3928.0;3861.0;3910.5;6.7
"2018-12-10";3908.0;3947.5;3894.0;3922.0;5.35
"2018-12-11";3907.0;3926.0;3891.5;3904.5;3.45
"2018-12-12";3895.0;3901.5;3839.0;3857.5;6.25
"2018-12-13";3859.5;3901.0;3854.0;3893.5;4.7
"2018-12-14";3913.5;3923.0;3891.0;3917.0;3.2
"2018-12-17";3926.5;3933.5;3890.5;3910.0;4.3
"2018-12-18";3899.5;3921.5;3899.5;3921.5;2.2
"2018-12-19";3909.0;3917.0;3872.5;3915.0;4.45
"2018-12-20";3887.0;3887.0;3845.0;3845.0;4.2
"2018-12-21";3860.0;3911.5;3855.0;3910.0;5.65
"2018-12-26";3908.5;3944.0;3905.0;3926.0;3.9
"2018-12-27";3929.0;3944.0;3874.5;3878.5;6.95
"2018-12-28";3880.0;3901.5;3836.0;3883.0;6.55
"2019-01-02";3890.0;3904.0;3778.5;3790.5;12.55
"2019-01-03";3804.0;3815.5;3745.0;3763.5;7.05
"2019-01-04";3751.0;3791.5;3714.5;3721.5;7.7
"2019-01-07";3722.0;3743.5;3695.5;3741.5;4.8
"2019-01-08";3745.5;3747.5;3708.5;3718.0;3.9
